value,timestamp,status,uuid,bound1,bound2,bound3,bound4,bound5,bound6,bound7,bound8,bound9,bound10,bound11,bound12
17.54,201,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.55,205,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.56,208,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.57,212,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.58,216,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.59,222,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.6,225,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.61,229,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.62,233,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.63,237,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.64,241,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.66,251,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.68,255,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.69,259,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.7,266,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.71,270,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.72,274,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.73,278,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.74,282,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.75,286,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.76,290,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.77,296,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.78,300,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.79,307,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.8,311,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.81,318,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.82,322,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.83,329,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.84,335,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.85,339,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.86,346,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.87,353,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.88,359,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.89,363,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.9,370,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.91,377,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.92,383,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.93,390,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.94,397,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.95,403,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.96,410,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.97,414,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.98,421,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.99,428,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.0,434,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.01,441,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.03,454,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.04,459,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.05,465,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.06,472,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.07,476,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.08,482,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.09,486,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.1,493,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.11,500,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.12,505,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
18.13,511,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
